date	time	open	high	low	close	tickvolume	volume	spread
2018.06.26	15:26:00	1.16763	1.16770	1.16742	1.16746	59	0	2
2018.06.26	15:27:00	1.16746	1.16755	1.16734	1.16736	110	0	2
2018.06.26	15:28:00	1.16736	1.16778	1.16724	1.16775	181	0	1
2018.06.26	15:29:00	1.16775	1.16785	1.16764	1.16767	181	0	2
2018.06.26	15:30:00	1.16766	1.16766	1.16742	1.16753	147	0	2
2018.06.26	15:31:00	1.16753	1.16753	1.16733	1.16734	102	0	1
2018.06.26	15:32:00	1.16734	1.16757	1.16731	1.16753	107	0	3
2018.06.26	15:33:00	1.16753	1.16762	1.16745	1.16750	112	0	2
2018.06.26	15:34:00	1.16750	1.16821	1.16748	1.16813	179	0	2
2018.06.26	15:35:00	1.16812	1.16844	1.16798	1.16832	246	0	2
2018.06.26	15:36:00	1.16832	1.16835	1.16810	1.16817	170	0	1
2018.06.26	15:37:00	1.16817	1.16829	1.16813	1.16828	141	0	1
2018.06.26	15:38:00	1.16828	1.16828	1.16806	1.16812	120	0	2
2018.06.26	15:39:00	1.16812	1.16814	1.16800	1.16801	125	0	2
2018.06.26	15:40:00	1.16801	1.16811	1.16788	1.16793	110	0	1
2018.06.26	15:41:00	1.16793	1.16813	1.16790	1.16801	113	0	2
